,,1,,,,,2',,,,,5',,,,,4,,,,,7',,,,,3
X,Y,Z,,,,,6',,,,,,,,,,,,,,,,,,,,
494.868,204.196,248.96,,,,,,,,,,,,,,,,,,,,,,,,,
494.868,204.196,248.96,,,,,,,,,,,,,,,,,,,,,,,,,
499.662,206.964,240.599,,,,,,,,,,,,,,,,,,,,,,,,,
499.662,206.964,240.599,,,,,,,,,,,,,,,,,,,,,,,,,
504.455,209.731,232.238,,,,,,,,,,,,,,,,,,,,,,,,,
504.455,209.731,232.238,,,,,,,,,,,,,,,,,,,,,,,,,
509.249,212.499,223.877,,,,,,,,,,,,,,,,,,,,,,,,,
509.249,212.499,223.877,,,,,,,,,,,,,,,,,,,,,,,,,
514.043,215.267,215.516,,,,,,,,,,,,,,,,,,,,,,,,,
514.043,215.267,215.516,,,,,,,,,,,,,,,,,,,,,,,,,
518.837,218.034,207.156,,,,,,,,,,,,,,,,,,,,,,,,,
518.837,218.034,207.156,,,,,,,,,,,,,,,,,,,,,,,,,
523.63,220.802,198.795,,,,,,,,,,,,,,,,,,,,,,,,,
523.63,220.802,198.795,,,,,,,,,,,,,,,,,,,,,,,,,
528.424,223.57,190.434,,,,,,,,,,,,,,,,,,,,,,,,,
528.424,223.57,190.434,,,,,,,,,,,,,,,,,,,,,,,,,
533.218,226.337,182.073,,,,,,,,,,,,,,,,,,,,,,,,,
533.218,226.337,182.073,,,,,,,,,,,,,,,,,,,,,,,,,
538.012,229.105,173.712,,,,,,,,,,,,,,,,,,,,,,,,,
538.012,229.105,173.712,,,,,,,,,,,,,,,,,,,,,,,,,
542.806,231.873,165.352,,,,,,,,,,,,,,,,,,,,,,,,,
542.806,231.873,165.352,,,,,,,,,,,,,,,,,,,,,,,,,
547.599,234.641,156.991,,,,,,,,,,,,,,,,,,,,,,,,,
547.599,234.641,156.991,,,,,,,,,,,,,,,,,,,,,,,,,
552.393,237.408,148.63,,,,,,,,,,,,,,,,,,,,,,,,,
552.393,237.408,148.63,,,,,,,,,,,,,,,,,,,,,,,,,
557.187,240.176,140.269,,,,,,,,,,,,,,,,,,,,,,,,,
557.187,240.176,140.269,,,,,,,,,,,,,,,,,,,,,,,,,
561.981,242.944,131.909,,,,,,,,,,,,,,,,,,,,,,,,,
561.981,242.944,131.909,,,,,,,,,,,,,,,,,,,,,,,,,
566.774,245.711,123.548,,,,,,,,,,,,,,,,,,,,,,,,,
566.774,245.711,123.548,,,,,,,,,,,,,,,,,,,,,,,,,
571.568,248.479,115.187,,,,,,,,,,,,,,,,,,,,,,,,,
571.568,248.479,115.187,,,,,,,,,,,,,,,,,,,,,,,,,
576.362,251.247,106.826,,,,,,,,,,,,,,,,,,,,,,,,,
576.362,251.247,106.826,,,,,,,,,,,,,,,,,,,,,,,,,
581.156,254.014,98.465,,,,,,,,,,,,,,,,,,,,,,,,,
581.156,254.014,98.465,,,,,,,,,,,,,,,,,,,,,,,,,
585.949,256.782,90.105,,,,,,,,,,,,,,,,,,,,,,,,,
585.949,256.782,90.105,,,,,,,,,,,,,,,,,,,,,,,,,
590.743,259.55,81.744,,,,,,,,,,,,,,,,,,,,,,,,,
590.743,259.55,81.744,,,,,,,,,,,,,,,,,,,,,,,,,
595.537,262.317,73.383,,,,,,,,,,,,,,,,,,,,,,,,,
595.537,262.317,73.383,,,,,,,,,,,,,,,,,,,,,,,,,
600.331,265.085,65.022,,,,,,,,,,,,,,,,,,,,,,,,,
600.331,265.085,65.022,,,,,,,,,,,,,,,,,,,,,,,,,
605.124,267.853,56.661,,,,,,,,,,,,,,,,,,,,,,,,,
605.124,267.853,56.661,,,,,,,,,,,,,,,,,,,,,,,,,
600.774,259.943,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
600.774,259.943,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
595.76,251.259,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
595.76,251.259,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
590.747,242.576,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
590.747,242.576,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
585.733,233.892,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
585.733,233.892,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
580.72,225.208,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
580.72,225.208,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
575.706,216.524,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
575.706,216.524,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
570.693,207.841,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
570.693,207.841,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
565.679,199.157,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
565.679,199.157,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
560.666,190.473,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
560.666,190.473,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
555.652,181.79,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
555.652,181.79,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
550.638,173.106,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
550.638,173.106,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
545.625,164.422,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
545.625,164.422,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
540.611,155.738,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
540.611,155.738,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
535.598,147.055,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
535.598,147.055,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
530.584,138.371,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
530.584,138.371,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
525.571,129.687,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
525.571,129.687,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
520.557,121.003,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
520.557,121.003,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
515.544,112.32,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
515.544,112.32,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
510.53,103.636,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
510.53,103.636,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
505.516,94.952,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
505.516,94.952,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
500.503,86.268,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
500.503,86.268,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
495.489,77.585,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
495.489,77.585,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
490.476,68.901,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
490.476,68.901,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
485.462,60.217,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
485.462,60.217,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
480.449,60.217,61.944,,,,,,,,,,,,,,,,,,,,,,,,,
480.449,60.217,61.944,,,,,,,,,,,,,,,,,,,,,,,,,
480.449,61.08,70.516,,,,,,,,,,,,,,,,,,,,,,,,,
480.449,61.08,70.516,,,,,,,,,,,,,,,,,,,,,,,,,
480.449,66.756,79.088,,,,,,,,,,,,,,,,,,,,,,,,,
480.449,66.756,79.088,,,,,,,,,,,,,,,,,,,,,,,,,
480.449,72.431,87.66,,,,,,,,,,,,,,,,,,,,,,,,,
480.449,72.431,87.66,,,,,,,,,,,,,,,,,,,,,,,,,
